Address,Balance_28115058,Balance_USD_28115058,Balance_31244000,Balance_USD_31244000
0xf329e36c7bf6e5e86ce2150875a84ce77f477375,20.3095,20.3095,525.387,525.387
0x6b7a87899490ece95443e979ca9485cbe7e71522,35.2957,35.2957,122.456,122.456
0x913de0f91169680c32c8f27212361272ef4fdfd9,704.4059,704.4059,82.5298,82.5298
0x3aa667d05a6aa1115cf4a533c29bb538acd1300c,0,0,57.7676,57.7676
0xcef40a3ffc332ae82750d4373925bae217d09979,54.0076,54.0076,54.0076,54.0076
0x453c5e80d2a77907da13422a6e54d47a8f8adb35,0,0,28.6374,28.6374
0x7bfc36aa3de51906324719e0d1136819a940419b,17.7195,17.7195,17.7195,17.7195
0x078edd760ff5b5b4604fb338d3cf7b6d5355c7ec,12.6404,12.6404,12.6404,12.6404
0x5b3bfc0aa052c6559e9f567efd8beaac1aa5aedd,11.1656,11.1656,11.1656,11.1656
0x2c153f011d75469365fdbb4aa0c061560d78191e,9.25,9.25,9.25,9.25
0xbcb49a811c162b06bf597d13da1018d96e4e9d75,7.4589,7.4589,7.4589,7.4589
0x4abeb9fedd87b28bf53b24dddf02ace9e7ccf360,6.3142,6.3142,6.3142,6.3142
0xa40b6c5e4c84412b5f7da85a9aa5c8eb0d24518b,5.7906,5.7906,5.7906,5.7906
0xcd638150afe4839afc933f448e0055337c959d43,4.3492,4.3492,4.3492,4.3492
0x8d6a6faaba1b376f2d9ff24545d1c38431a8a4ba,2.7346,2.7346,2.7346,2.7346
0xa67836730dda411fd2b24b371b3c9387563a770b,2.6849,2.6849,2.6849,2.6849
0xdd6271ebcdc529bf92949dcc3ecd725a4e25477f,2.4947,2.4947,2.4947,2.4947
0x983edb2c9a31c2549fb8d8b33b5724a85ae99423,2.1106,2.1106,2.1106,2.1106
0xd1c99ee12d2b0a84f4d11b4b0b19b4cfacbb01f7,1.6364,1.6364,1.6364,1.6364
0xcda505c1f7f5067bd434c2706891a0e177a76b1f,1.184,1.184,1.1548,1.1548
